clab,X ,Y,Z
FP1,-0.309,0.9511,0.0001
AFF5,-0.5417,0.7777,0.3163
AFz,0,0.923,0.3824
F1,-0.2888,0.6979,0.6542
FC5,-0.8709,0.3373,0.3549
FC1,-0.3581,0.377,0.8532
T7,-1,0,0
C3,-0.7066,0.0001,0.7066
Cz,0,0.0002,1
CP5,-0.8712,-0.3372,0.3552
CP1,-0.358,-0.3767,0.8534
P7,-0.809,-0.5878,-0.0001
P3,-0.5401,-0.6724,0.5045
Pz,0,-0.7063,0.7065
POz,0,-0.923,0.3824
O1,-0.309,-0.9511,0
FP2,0.3091,0.9511,0
AFF6,0.5417,0.7777,0.3163
F2,0.2888,0.6979,0.6542
FC2,0.3581,0.377,0.8532
FC6,0.8709,0.3373,0.3549
C4,0.7066,0.0001,0.7066
T8,1,0,0
CP2,0.358,-0.3767,0.8534
CP6,0.8712,-0.3372,0.3552
P4,0.5401,-0.6724,0.5045
P8,0.809,-0.5878,-0.0001
O2,0.309,-0.9511,0
TP9,-0.8777,-0.2852,-0.3826
TP10,0.8777,-0.2853,-0.3826
